agent,map,kda,kill,death,assistant,win rate,defender win rate,attack win rate,pick rate,total game
raze,all,1,11.0?,?11.0?,?3.5,50.20%,50.18%,49.73%,10.00%,"1,047,336"
killjoy,all,0.96,11.0?,?11.4?,?3.4,51.80%,51.24%,50.40%,6.00%,"626,892"
sage,all,0.9,10.8?,?12.0?,?3.7,50.80%,50.19%,50.34%,13.50%,"1,414,077"
brimstone,all,0.91,11.2?,?12.3?,?4.9,49.30%,49.94%,49.90%,3.40%,"357,714"
reyna,all,1.15,13.5?,?11.8?,?3.3,51.20%,50.16%,50.52%,13.30%,"1,400,664"
viper,all,0.94,10.9?,?11.6?,?3.9,48.50%,49.96%,50.16%,4.80%,"499,902"
sova,all,0.94,10.9?,?11.6?,?4.4,49.30%,49.89%,49.86%,7.50%,"786,216"
breach,all,0.93,10.2?,?11.0?,?3.7,49.00%,49.09%,49.67%,2.40%,"252,195"
jett,all,1.11,12.6?,?11.4?,?3.0,50.20%,49.94%,50.27%,13.50%,"1,421,013"
omen,all,0.96,12.1?,?12.6?,?4.0,48.90%,49.67%,49.73%,6.70%,"698,343"
skye,all,0.93,10.4?,?11.2?,?3.1,49.40%,49.72%,50.14%,3.60%,"382,806"
phoenix,all,0.99,10.9?,?11.0?,?2.9,49.50%,49.24%,49.68%,6.20%,"648,975"
astra,all,0.99,11.7?,?11.8?,?3.7,47.70%,49.87%,49.26%,1.10%,"112,251"
cypher,all,0.96,11.2?,?11.7?,?3.5,50%,49.72%,49.52%,4%,"399,942"
yoru,all,0.93,9.6?,?10.3?,?2.4,46.50%,47.68%,49.00%,4.30%,"448,698"
raze,split,1.03,11.9?,?11.6?,?3.9,49.90%,51.90%,48.64%,10.90%,"91,851"
killjoy,split,0.98,11.6?,?11.8?,?3.6,51.70%,52.51%,49.19%,6.50%,"54,621"
sage,split,0.92,11.1?,?12.2?,?3.9,50.30%,51.64%,49.01%,14.10%,"118,779"
brimstone,split,0.93,11.3?,?12.1?,?5.4,50.20%,51.28%,48.84%,3.50%,"29,274"
reyna,split,1.13,13.5?,?12.0?,?3.4,50.60%,51.53%,49.06%,13%,"109,497"
viper,split,0.9,10.6?,?11.8?,?4.2,47.10%,50.73%,49.14%,4.30%,"36,567"
sova,split,0.96,11.2?,?11.7?,?4.6,48.80%,50.78%,48.60%,5.40%,"45,951"
breach,split,0.95,10.6?,?11.2?,?3.7,49%,50.39%,48.85%,2.80%,"23,307"
jett,split,1.08,12.7?,?11.7?,?3.2,50.80%,51.03%,48.87%,12.90%,"109,038"
omen,split,0.97,12.5?,?12.8?,?4.3,51.20%,51.30%,48.51%,7.40%,"62,322"
skye,split,0.9,10.6?,?11.7?,?3.3,50.30%,50.18%,49.63%,3.50%,"29,580"
phoenix,split,1.01,11.1?,?11.1?,?3.1,50%,49.97%,48.54%,5.90%,"49,572"
astra,split,0.98,12.4?,?12.7?,?3.8,49.70%,52.79%,45.43%,1.20%,"10,047"
cypher,split,0.95,11.5?,?12.1?,?3.7,45.70%,51.85%,47.75%,5.20%,"44,013"
yoru,split,0.95,9.9?,?10.5?,?2.5,48%,48.20%,48.18%,3.60%,"30,192"
raze,bind,1.01,11.2?,?11.2?,?3.6,49.50%,51.80%,48.42%,10.90%,"196,401"
killjoy,bind,0.97,11.1?,?11.4?,?3.5,52.30%,52.74%,49.30%,6.20%,"111,333"
sage,bind,0.91,10.9?,?12.1?,?3.7,51.40%,51.44%,49.09%,13.30%,"239,496"
brimstone,bind,0.92,11.3?,?12.4?,?4.9,51%,51.32%,49.06%,3.80%,"68,901"
reyna,bind,1.16,13.6?,?11.7?,?3.3,51.30%,51.43%,49.21%,13.10%,"236,742"
viper,bind,0.92,10.8?,?11.8?,?3.9,47.20%,52.00%,48.23%,4.30%,"76,959"
sova,bind,0.95,11.2?,?11.8?,?4.5,49.10%,51.10%,48.18%,7.10%,"127,551"
breach,bind,0.95,10.3?,?10.8?,?3.5,47%,50.80%,47.44%,2.40%,"43,605"
jett,bind,1.09,12.4?,?11.3?,?2.9,50%,51.10%,48.88%,12.90%,"231,795"
omen,bind,0.96,12.0?,?12.6?,?4.0,48.60%,50.99%,48.23%,6.60%,"119,799"
skye,bind,0.94,10.5?,?11.2?,?3.1,51.60%,50.61%,49.19%,3.60%,"64,515"
phoenix,bind,0.99,11.2?,?11.3?,?2.9,49%,50.48%,48.40%,6.30%,"113,628"
astra,bind,0.96,11.8?,?12.4?,?3.8,47.90%,51.25%,48.47%,1%,"18,411"
cypher,bind,0.94,11.2?,?11.9?,?3.5,50.20%,51.32%,48.13%,4.40%,"78,897"
yoru,bind,0.94,9.7?,?10.4?,?2.4,46.50%,48.00%,48.49%,4.20%,"75,531"
raze,haven,1.01,11.1?,?10.9?,?3.4,51%,49.20%,51.04%,9.20%,"166,974"
killjoy,haven,0.95,10.9?,?11.5?,?3.3,51.20%,50.12%,51.36%,5.70%,"103,479"
sage,haven,0.9,11.0?,?12.2?,?3.7,50.40%,49.21%,51.21%,13.60%,"245,361"
